tweet_id,score,value
1059867101425557505,0.5548,positive
1059829157293633537,0.8035,positive
1059805792516427776,0.5000,neutral
1059927286110138368,0.6278,positive
1059872616046059520,0.8143,positive
1059620847328133121,0.3039,negative
1059254725441474560,0.4278,negative
1058253625162493952,0.5885,positive
1059612909234520064,0.7579,positive
1059910907000745994,0.6369,positive
1059829237287243776,0.0000,negative
1058063350041624579,0.5060,neutral
1059833393402273793,0.7092,positive
1059835592928870400,0.0732,negative
1059956538167701506,0.2727,negative
1059790777751126016,0.4285,negative
1059817719418286080,0.0985,negative
1057431976658063360,0.6528,positive
1058615133243670528,0.5694,positive
1059930168008101888,0.8620,positive
1059755363388534785,0.1126,negative
1059929352224301056,0.3366,negative
1059922500296032261,0.5000,neutral
1057663380612362240,0.6573,positive
1059951914434027520,0.6436,positive
1059776257515229185,0.3377,negative
1059778189147410432,0.3982,negative
1059790571651432450,0.4181,negative
1059826626513563648,0.6645,positive
1059832397284495362,0.0000,negative
1056729537453715458,0.5494,neutral
1059849997523582977,0.6611,positive
1057641009524355082,0.6394,positive
1059935785502294016,0.3753,negative
1059949529942888449,0.0115,negative
1059600157954789376,0.5161,neutral
1059742260181585921,0.2727,negative
1059606746065485824,0.4393,negative
1059793122236997637,0.4585,neutral
1059792318318997505,0.7575,positive
1059857182844436480,0.5869,positive
1059848113085652992,0.5000,neutral
1059798360692002816,0.4466,negative
1059822821516500993,0.4225,negative
1059613387322208256,0.3233,negative
1059701626632581120,0.4116,negative
1059894851829989376,0.7273,positive
1059823382819229697,0.5091,neutral
1059860774502522885,0.3782,negative
1059856386992025601,0.5439,neutral
1059917684903677952,0.1510,negative
1059892436753960965,0.4145,negative
1058156867472576514,0.6486,positive
1057572499666411520,0.8704,positive
1059914696692772864,0.4753,neutral
1059790724068270081,0.4115,negative
1059932874881855488,0.2391,negative
1058403771460608000,0.4771,neutral
1059839715225022464,0.5113,neutral
1059647851746095105,0.0000,negative
1059703115589541888,0.2500,negative
1059788329712017408,0.2724,negative
1059702832125919232,0.3659,negative
1059921925831565313,0.5000,neutral
1059816665029005317,0.5031,neutral
1059447768400515072,0.3875,negative
1059853815669800961,0.5717,positive
1058047910141669377,0.5530,positive
1059772443655630848,0.1806,negative
1059847239907061760,0.6376,positive
1056934339546628096,0.7196,positive
1058048964807852032,0.5815,positive
1058252908217548804,0.6311,positive
1059767823139028994,0.3395,negative
1058688124296065024,0.4917,neutral
1059895669756964865,0.7381,positive
1059844814890504192,0.6655,positive
1059631225944637441,0.3906,negative
1057730335163736070,0.6057,positive
1058948466473402368,0.6818,positive
1059655437098905602,0.3039,negative
1058330910075092993,0.3300,negative
1059943514950127616,0.6448,positive
1059785734217854976,0.7989,positive
1059955625231376387,0.4094,negative
1059768149548113920,0.3368,negative
1059811873535725571,0.2977,negative
1059473247912235012,0.6132,positive
1059785773678034945,0.2471,negative
1059844868313358336,0.8211,positive
1059835514017193985,0.1420,negative
1059788238691463168,0.1989,negative
1059808601626296321,0.5479,neutral
1059808617732456448,0.3275,negative
1058977405262532608,0.6676,positive
1059869370451742722,0.7073,positive
1059785819312021505,0.5152,neutral
1059795168776331264,0.5178,neutral
1059791873244647424,0.6844,positive
1059630238643249152,0.5510,positive
1059847123674546176,0.5913,positive
1059204711855861762,0.4964,neutral
1057143089754787841,0.3678,negative
1059833395289698304,0.1768,negative
1059817717279133696,0.5523,positive
1057606493011431425,0.3816,negative
1059935104737402881,0.1575,negative
1059845522746499072,0.3000,negative
1059920289738485760,0.2496,negative
1059777074091692032,0.6101,positive
1059697641494376449,0.7200,positive
1058912849664397312,0.6141,positive
1059609691570032640,0.4504,neutral
1059274053855444993,0.4535,neutral
1059843606146662401,0.6754,positive
1059817243771654145,0.7453,positive
1059807092503207936,0.5000,neutral
1059754853612699648,0.3508,negative
1059270551095701504,0.5603,positive
1059915127267512322,0.4982,neutral
1057826019942502400,0.4713,neutral
1059884073248874497,0.6466,positive
1056883186465230848,0.8936,positive
1059932998085328902,0.7941,positive
1059564426796376065,0.7761,positive
1056984052232843264,0.6353,positive
1059918757802508288,0.4727,neutral
1059937165214408706,0.6520,positive
1059845365179052033,0.6141,positive
1059801652742574080,0.9601,positive
1059788762933288960,0.5161,neutral
1059778057085612037,0.5924,positive
1058615029094932480,0.5758,positive
1059854200593702912,0.6448,positive
1059793146417160198,0.6235,positive
1059878403707408384,0.5421,neutral
1059836900461154305,0.0000,negative
1059787965960990720,0.3704,negative
1056727530365992960,0.5906,positive
1059776415091056640,0.6108,positive
1059419353869938688,0.3214,negative
1059922389675507712,0.5000,neutral
1057274214988857344,0.7703,positive
1059815486081372160,0.5000,neutral
1059953771181207552,0.1821,negative
1059779502857957376,0.4328,negative
1059933979736969216,0.7395,positive
1059782800805638145,0.3541,negative
1058742359779872768,0.4391,negative
1059889995648036865,0.5553,positive
1059854241664299013,0.6352,positive
1059926278172827648,0.5203,neutral
1059854027993870336,0.6826,positive
1056652946711175168,0.7222,positive
1057075138229927936,0.4970,neutral
1057701581351739393,0.3751,negative
1057642496900112385,0.4695,neutral
1059807088220659713,0.4485,negative
1059729868026494976,0.5000,neutral
1059878854930677760,0.5042,neutral
1059890108118261761,0.1673,negative
1059931369793560576,0.0293,negative
1058171841947295744,0.4173,negative
1059804669378211840,0.3880,negative
1059788219104051207,0.4465,negative
1059807729760591872,0.4605,neutral
1059843211026464768,0.4091,negative
1057403429537099776,0.1000,negative
1058384178406920192,0.4861,neutral
1059885286543515653,0.7041,positive
1059647522417926144,0.7778,positive
1059602721735614464,0.4822,neutral
1059806947560562688,0.5579,positive
1059939145416667141,0.8846,positive
1059611510178234368,0.0940,negative
1059866072244019201,0.5036,neutral
1057805538094968832,0.5094,neutral
1059441399328858112,0.3121,negative
1059607424125075457,0.4751,neutral
1059756961061916672,0.4933,neutral
1059889450745057280,0.4260,negative
1059904564764262402,0.6375,positive
1059798482016522240,0.4556,neutral
1059856474489475074,0.6025,positive
1057978962729689088,0.3171,negative
1058036979865214981,0.5575,positive
1059788031195078656,0.4695,neutral
1059832572530843649,0.7244,positive
1057392117025292290,0.5939,positive
1059599781344043009,0.3041,negative
1059907632117493761,0.4375,negative
1059887571973693441,0.4715,neutral
1059807876867342336,0.5054,neutral
1059807342672388096,0.1953,negative
1058252941491003392,1.0000,positive
1059917575889522691,0.4323,negative
1059822477923123200,0.6284,positive
1059621543611981824,0.5525,positive
1059827968686592001,0.2143,negative
1058181217705754624,0.0000,negative
1059870893277659143,0.3172,negative
1059639453352951808,0.6322,positive
1059792282868740096,0.6932,positive
1059775277490978821,0.2297,negative
1059813187497934848,0.5486,neutral
1059490748553408512,0.6887,positive
1059822534563188739,0.4431,negative
1059882722510938112,0.6436,positive
1056998881731534848,0.2619,negative
1059643324687155201,0.3852,negative
1059780486132842496,0.2619,negative
1058061519328444419,0.6060,positive
1059819812665413633,0.3159,negative
1059788490735525893,0.5215,neutral
1058521054757425160,0.6157,positive
1058783805572632576,0.2274,negative
1059910824301604865,0.5340,neutral
1059866562654547968,0.3965,negative
1059841021159374849,0.4182,negative
1059783838837211136,0.2912,negative
1059944091822252033,0.6083,positive
1059814102846070785,0.4365,negative
1057059543979581443,0.0000,negative
1059599436408590336,0.2606,negative
1059789369597403137,0.9000,positive
1059883930718031878,0.5721,positive
1059805627948679168,0.4325,negative
1057707372733435904,0.5159,neutral
1058735796373651458,0.5579,positive
1059792995552280577,0.4262,negative
1059910120765833216,0.8171,positive
1059815848955834369,0.6966,positive
1059820244250824704,0.6168,positive
1059854875654320128,0.8521,positive
1058343098185666560,0.5987,positive
1058377176586825728,0.4446,negative
1059872222754541570,0.2974,negative
1059161374939594752,0.7252,positive
1059921976012296197,0.3495,negative
1059857938012090368,0.5703,positive
1059952510876745731,0.0000,negative
1059950859554119680,0.5975,positive
1059608365733765120,0.2059,negative
1059904130418950145,0.4769,neutral
1059633378243330049,0.8595,positive
1059925295669616640,0.5000,neutral
1059765913308794880,0.3670,negative
1059818687719505920,0.5962,positive
1059813184842932227,0.5724,positive
1058051667860578305,0.5530,positive
1059788185587404801,0.6493,positive
1059776640824283136,0.4418,negative
1059781610567094272,0.4995,neutral
1059717018256097280,0.4179,negative
1059793432242196480,0.3900,negative
1059842623672934400,0.3426,negative
1059943506880401409,0.2391,negative
1059854735262539776,0.4440,negative
1059898719351554048,0.3927,negative
1058471579666075653,0.6060,positive
1059825897203736577,0.5671,positive
1059664831173799938,0.3997,negative
1057761053323509765,0.4570,neutral
1059912495249481729,0.2806,negative
1059942736189644801,0.4664,neutral
1059687947845488641,0.4941,neutral
1059899882230767616,0.4407,negative
1059415833640923136,0.8094,positive
1059806414397431809,0.7326,positive
1059846296847179776,0.2991,negative
1057978182652051456,0.4561,neutral
1056999320661250050,0.4771,neutral
1059687682643767296,0.4785,neutral
1057980641290186759,0.6132,positive
1059832286449934336,0.7741,positive
1058562644695752704,0.3155,negative
1058373244871417857,0.4964,neutral
1059915343404154881,0.6034,positive
1059844147857653760,0.4905,neutral
1059620939162361856,0.2917,negative
1057210642443223040,0.5498,neutral
1058393391816458240,0.6056,positive
1059859019156910081,0.4824,neutral
1059774075999019008,0.0000,negative
1059811479963217920,0.6589,positive
1059928298975870976,0.6205,positive
1056968989258203136,0.6409,positive
1059614117986791425,0.9000,positive
1058747170290106375,0.4904,neutral
1059914852947423234,0.5000,neutral
1059913230246690816,0.5536,positive
1059855788351598594,0.3171,negative
1059789821613391872,0.8704,positive
1059814836798939137,0.5596,positive
1059829685281005569,0.7914,positive
1059872561520087040,0.0000,negative
1059883006217736193,0.5370,neutral
1059958057512374275,0.5047,neutral
1056980445336879104,0.4858,neutral
1059771716954742784,0.3778,negative
1057892196911927297,0.7564,positive
1059822016226869249,0.1976,negative
1059955054868869120,0.7439,positive
1059629078536511490,0.7381,positive
1059778618426056704,0.2820,negative
1057617854357536770,0.2399,negative
1058146727520321537,0.6076,positive
1056899861638012928,0.5242,neutral
1058252772435386368,0.5773,positive
1059634348381609984,0.6575,positive
1056876208640745472,0.6831,positive
1059849568324595712,0.4832,neutral
1059921064380297217,0.3525,negative
1058843796719521793,0.3556,negative
1058115891198607360,0.5228,neutral
1059604115393822720,0.5023,neutral
1059871050618560513,0.3895,negative
1059852918851956736,0.4375,negative
1057990240827330560,0.7564,positive
1059789694911873025,0.7356,positive
1059915889406083072,0.3685,negative
1059833971587072000,0.7117,positive
1059901863573811200,0.2143,negative
1059780659491815424,0.2822,negative
1059663590452613120,0.9042,positive
1059893386788913152,0.6712,positive
1059834561885073408,0.5557,positive
1058023418749165568,0.7385,positive
1059778474796371968,0.7063,positive
1059837895501144067,0.5773,positive
1059795848740114432,0.4317,negative
1058705659884122113,0.5717,positive
1059940735095582720,0.6969,positive
1059636443965018112,0.0000,negative
1059579533035216899,0.4359,negative
1059624641617104897,0.5511,positive
1059806611689140224,0.6898,positive
1057602802292310016,0.4415,negative
1059690893710626817,0.5972,positive
1059914376482832386,0.5000,neutral
1059128215149649920,0.6817,positive
1059819555713892352,0.5028,neutral
1059651601542078464,0.5530,positive
1059939675836690432,0.3132,negative
1059795110265790464,0.3705,negative
1059868788735336450,0.6951,positive
1059898749407977472,0.7433,positive
1059211318530633733,0.6530,positive
1059939748851208192,0.0543,negative
1059827065711661056,0.6115,positive
1059843561053609984,0.5056,neutral
1059602208528965632,0.1859,negative
1059862520670965761,0.2957,negative
1059899383997743104,0.8546,positive
1059936189476753413,0.2188,negative
1059913115352162305,0.2337,negative
1059522262393647104,0.4461,negative
1059567883695595520,0.2619,negative
1059797683655847937,0.2747,negative
1059933746948947968,0.7514,positive
1059859258588778496,0.6251,positive
1058568712096305152,0.5302,neutral
1057772505207840768,0.4695,neutral
1059670160775307265,0.7920,positive
1059824654850899970,0.3039,negative
1059115220126388225,0.8316,positive
1059473667728519169,0.8857,positive
1059921707300020225,0.6305,positive
1059784819368955905,0.5927,positive
1059664714404454402,0.4667,neutral
1059439313363128321,0.1154,negative
1059611126898532352,0.7572,positive
1056632764961824769,0.7472,positive
1059789820799733760,0.6205,positive
1059809887990022144,0.5571,positive
1059633142565347329,0.7438,positive
1059787626172084224,0.2778,negative
1059897863684145153,0.2619,negative
1059917671179976707,0.3101,negative
1058841274881597440,0.3963,negative
1059864624294780928,0.7564,positive
1059825865255800832,0.7503,positive
1059818997221339138,0.0000,negative
1059868467141206017,0.4390,negative
1059841545069871104,0.3772,negative
1059951224513069056,0.5686,positive
1059619754011439104,0.5000,neutral
1059898780810727425,0.5448,neutral
1057795646185529344,0.4020,negative
1057986134641467393,0.3051,negative
1059794595670904833,0.7127,positive
1058594489810477056,0.7358,positive
1059850395252613126,0.0000,negative
1059910339549188096,0.6436,positive
1057120554401042432,0.4729,neutral
1059782235765817345,0.5183,neutral
1059807554715467776,0.7265,positive
1059805893745876992,0.5714,positive
1056919571284799488,0.6195,positive
1059609100709969920,0.5092,neutral
1056712858476650497,0.4459,negative
1059770497284612097,0.4422,negative
1059879338148012033,0.6594,positive
1059607515166576640,0.6179,positive
1059866169442746368,0.4054,negative
1059830443913158661,0.5261,neutral
1059622345663569920,0.7678,positive
1059232594938785798,0.0915,negative
1059608348839079936,0.4701,neutral
1059914020017356802,0.6466,positive
1059789216010436608,0.6360,positive
1058043734917550080,0.6576,positive
1059732332461068288,0.5115,neutral
1059629267494019074,0.1867,negative
1058121542238912512,0.2853,negative
1058237250842939392,0.7871,positive
1059875564004220929,0.7273,positive
1059761233182760960,0.6437,positive
1056961515243352065,0.3684,negative
1059788163290423297,0.1111,negative
1057640993464504321,0.5163,neutral
1059812081539653633,0.6355,positive
1059785162437914624,0.6266,positive
1059942678224388096,0.4438,negative
1058036808121049088,0.6798,positive
1058886619930001413,0.5717,positive
1059916051167752192,0.5714,positive
1059102141321756673,0.2561,negative
1059662912887943168,0.2958,negative
1059833626366492672,0.8710,positive
1058333871366914049,0.4122,negative
1058098858713063426,0.6211,positive
1057682372886437890,0.7536,positive
1057165314033704960,0.5547,positive
1058120531315253249,0.4676,neutral
1059639620286275584,0.4602,neutral
1059936752671043584,0.5651,positive
1059785874580389889,0.0986,negative
1059786690678661120,0.5942,positive
1059884843142668294,0.4713,neutral
1058418618977976321,0.5265,neutral
1059863690147758083,0.1428,negative
1059916757685678086,0.3858,negative
1058082522985324544,0.5530,positive
1058749338762051584,0.5351,neutral
1059916763054436353,1.0000,positive
1059779599259844608,0.5019,neutral
1059780691171393536,0.4232,negative
1059868121144717314,0.6491,positive
1058067086637973506,0.3897,negative
1056883212201480192,0.7737,positive
1059865926248660992,0.4725,neutral
1058567964457402368,0.4500,negative
1059805202243600385,0.5028,neutral
1058365645325324290,0.5761,positive
1059643583144357888,0.3354,negative
1059788438705192960,0.3974,negative
1059788992412037126,0.3102,negative
1059851686167171072,0.5611,positive
1058368972263960578,0.3910,negative
1059817040268144646,0.4484,negative
1059869548395020289,0.7475,positive
1059834092102078464,0.5000,neutral
1058397555707535361,0.6080,positive
1059798930274299904,0.4824,neutral
1059718114718478337,0.5965,positive
1059793430921076736,0.9624,positive
1059910523700031488,0.3288,negative
1059807990369472512,0.6318,positive
1057014251800408066,0.5717,positive
1059801677132390402,0.6989,positive
1058136304280616960,0.6096,positive
1057543124392775680,0.5262,neutral
1059864916339892224,0.5000,neutral
1059812665705537541,0.6813,positive
1059919620302426114,0.3892,negative
1059926779031420928,0.4982,neutral
1059601865485246465,0.5240,neutral
1058297901569466368,0.5336,neutral
1059820417131655168,0.6025,positive
1059609313583468546,0.5056,neutral
1059617827420889088,0.1961,negative
1059868264485056514,0.1154,negative
1059806134167617536,0.3387,negative
1057981471997206528,0.5947,positive
1058095009403191296,0.5786,positive
1058001506170036226,0.4924,neutral
1059929870556368896,0.5676,positive
1059881509962895360,0.1936,negative
1059860889334112258,0.5251,neutral
1057298611137077255,0.7227,positive
1059388965533433857,0.5039,neutral
1059781466136236033,0.3442,negative
1059836744013619201,0.2917,negative
1059836471547432962,0.6381,positive
1059604475650940928,1.0000,positive
1059826052904730625,0.5238,neutral
1059906033664049153,0.5366,neutral
1059852712978931712,0.7614,positive
1059945648764698625,0.5000,neutral
1059787305131667456,1.0000,positive
1059956084755128320,0.7657,positive
1059624052946583553,0.3439,negative
1059936318610915328,0.4029,negative
1058615227984556032,0.7632,positive
1059354659729666048,0.6409,positive
1059873377287061505,0.3649,negative
1059869533098389505,0.3827,negative
1059802215337078785,0.3262,negative
1059776642409811968,0.7263,positive
1059826708705144838,0.8011,positive
1057094800858644480,0.4651,neutral
1058308100892041216,0.6695,positive
1059755515046256641,0.7083,positive
1059600474930864128,1.0000,positive
1059935554870169600,0.2643,negative
1059954266213961728,0.5885,positive
1058358069976072192,0.5948,positive
1059527101710094336,0.4148,negative
1059828392223272961,0.5936,positive
1059824283889950721,0.3281,negative
1059930927642611714,0.5794,positive
1059919664590045184,0.3337,negative
1059787737019179010,0.2020,negative
1059924903489499137,0.6284,positive
1059806153213988865,0.4262,negative
1059804795849138178,0.8751,positive
1057990249169780741,0.7623,positive
1059872430536175621,0.5000,neutral
1058253034411573248,0.4551,neutral
1056978383190573057,0.7986,positive
1059855143301193728,0.7876,positive
1059780098734387200,0.8063,positive
1057950617149362176,0.5717,positive
1059782017817214976,0.5053,neutral
1057437705771147266,0.3280,negative
1059856528407068672,0.5059,neutral
1059943670605058050,0.7548,positive
1059863670812041216,0.5393,neutral
1059929675131162631,0.2707,negative
1059890393976844288,0.3034,negative
1059610832429035520,0.5625,positive
1059902483923910657,0.5164,neutral
1059938514576519168,0.7500,positive
1059902478286753798,0.6109,positive
1058400834269184001,0.0786,negative
1059921726073643013,0.4334,negative
1059936057423286272,0.2474,negative
1059789827225333762,0.6181,positive
1059827754512928770,0.7163,positive
1059933879304359936,0.6375,positive
1059620796065345537,0.5771,positive
1059832174235525121,0.4320,negative
1059798087143694336,0.5685,positive
1059790931619205120,0.4811,neutral
1059848408154992641,0.5813,positive
1059867643862233090,0.4363,negative
1059870399394185216,0.5903,positive
1059609533956456448,0.6910,positive
1059892658796183553,0.4239,negative
1059022968301539328,0.5773,positive
1059792612817805314,0.4604,neutral
1059793986565611520,0.8794,positive
1059634563570458625,0.5050,neutral
1059802807488991232,0.6401,positive
1059870178190745600,0.5256,neutral
1059777817938927616,0.4549,neutral
1059171138385928193,0.6528,positive
1058400664081063936,0.7363,positive
1059639020874067968,0.6922,positive
1057323687987298304,0.9092,positive
1059883113092993025,0.4987,neutral
1056712363213238277,0.4963,neutral
1059913087682252801,0.4766,neutral
1059781422385381376,0.2143,negative
1057014725572288512,0.4323,negative
1058783862514503681,0.2143,negative
1056803345271320577,0.7323,positive
1059760826788315136,0.5150,neutral
1058827336802549767,0.5975,positive
1057724989649158151,0.5344,neutral
1059609386857979905,0.4878,neutral
1059865025064644608,0.5302,neutral
1059873256226861056,0.5659,positive
1059823794213306369,0.3954,negative
1059919756722163712,0.4790,neutral
1058571185720565761,0.5290,neutral
1059883468526628866,0.0000,negative
1059298558875222016,0.4874,neutral
1059871108495785984,0.3140,negative
1057892310632091649,0.7983,positive
1059877432981893120,0.6197,positive
1059841423980269575,0.5000,neutral
1059533340116545536,0.5717,positive
1059813160985726976,0.5842,positive
1059844495917879296,0.4629,neutral
1059811262362730497,0.3763,negative
1059617743752912896,0.5328,neutral
1059940726681845760,0.4183,negative
1057300996064456705,0.4730,neutral
1058170972950458368,0.4504,neutral
1059847828929998848,0.0000,negative
1059643626714738688,0.3354,negative
1059897609119244288,0.8265,positive
1059910251800117250,0.2484,negative
1056669830185734146,0.5638,positive
1059780257060925440,0.5157,neutral
1058210258810740736,0.5044,neutral
1059820102349193216,0.5132,neutral
1059864633534832641,0.2659,negative
1059747005403140096,0.9348,positive
1059928713998032896,0.2958,negative
1058049926779863044,0.3978,negative
1056924026604523521,0.7893,positive
1059787722045440002,0.5579,positive
1059929843658305536,0.5000,neutral
1059162392628736000,0.6038,positive
1059868012919046145,0.3551,negative
1059124177037332481,0.5579,positive
1059865289582698502,0.3185,negative
1059871594355572737,0.0238,negative
1059871612072148992,0.6415,positive
1059693768520151040,0.7469,positive
1059785845702623233,0.3428,negative
1059868310869868544,0.4139,negative
1059894437298397185,0.7112,positive
1057679299606654977,0.5236,neutral
1059932925557399552,0.4922,neutral
1059785883287764992,0.6278,positive
1056674081741910017,0.4953,neutral
1059927165121257472,0.2709,negative
1059871112794914816,0.6001,positive
1059809839042478080,0.5868,positive
1059803235765182465,0.3372,negative
1059772745855234049,0.6778,positive
1059846975582019586,0.6887,positive
1059790353342042113,0.8121,positive
1057572609112637440,0.8448,positive
1059787049589526528,0.2727,negative
1059594914240061440,0.5366,neutral
1058143744610975744,0.3347,negative
1059928083426349057,0.7703,positive
1059784047352778753,0.2561,negative
1059934697306898434,0.5674,positive
1059818960340877318,0.0000,negative
1059927849619087360,0.2727,negative
1059842079222833152,0.6473,positive
1059943230735826944,0.1000,negative
1059790978750574592,0.5111,neutral
1059605425606348800,0.3011,negative
1059905062884007937,0.4958,neutral
1056940283643002880,0.5467,neutral
1059795654422204417,0.3078,negative
1059837717348081668,0.2826,negative
1058343205920481280,0.5773,positive
1057981463759589377,0.7182,positive
1057059545380540416,0.0000,negative
1059785800072749057,0.4702,neutral
1057631841308549120,0.1715,negative
1059267151763304448,0.5280,neutral
1059888087285800960,0.5978,positive
1059777030689091584,0.3700,negative
1059936210720866304,0.1122,negative
1059904880385671169,0.6375,positive
1059601138088075264,0.3036,negative
1059838631391637504,0.8818,positive
1058429630036746242,0.5575,positive
1059778170151288833,0.8657,positive
1059918083597451264,0.6788,positive
1059934572496982016,0.6001,positive
1057994598239354880,0.6608,positive
1059801008451268608,0.3587,negative
1059875253193793543,0.1665,negative
1059821358115405824,0.5000,neutral
1059932155667759106,0.2546,negative
1059624589171572736,0.6852,positive
1057620989440413697,0.4734,neutral
1059935215408308224,0.4222,negative
1059866811037040640,0.2818,negative
1057589333371293696,0.3316,negative
1059634557207625729,0.3077,negative
1059945441012391936,0.1861,negative
1059854455104028672,0.4760,neutral
1059797001993367552,0.5571,positive
1059939941290049537,0.1875,negative
1059865995253297152,0.3915,negative
1057572509795655680,0.8704,positive
1059784628070965249,0.6459,positive
1059856400485101568,0.4792,neutral
1058785453309071360,0.7262,positive
1056864975346524160,0.6175,positive
1059952598483132416,0.5133,neutral
1058156050069815296,0.6204,positive
1058137627600216065,0.8868,positive
1059809694620024833,0.5777,positive
1059925996122632192,0.5000,neutral
1059862219381501953,0.2916,negative
1058615107004129280,0.6612,positive
1056690934375763968,0.4554,neutral
1059823180217532416,0.5338,neutral
1059933708390686720,0.4119,negative
1059626654346235909,0.3090,negative
1059635461847769088,0.6929,positive
1059832567883616257,0.5465,neutral
1059945003454267397,0.4901,neutral
1059877376618909698,0.3390,negative
1058137027907067906,0.6096,positive
1059836977539964928,0.3053,negative
1057992121553022976,0.4089,negative
1059789721981931520,0.5764,positive
1059794664222613504,0.4775,neutral
1059798234191855616,0.5000,neutral
1059797438276472833,0.5778,positive
1059805952835231744,0.5045,neutral
1059954386754027521,0.4628,neutral
1059658341759246337,0.4628,neutral
1059802095962988545,0.8226,positive
1059798800062185473,0.7000,positive
1059643519063785472,0.4518,neutral
1059837581800681472,0.7578,positive
1059615488538480645,0.2888,negative
1059787549164691456,0.6126,positive
1059776000962244608,0.7781,positive
1059934342447882242,0.4858,neutral
1059788396619534336,0.1596,negative
1059807365707522049,0.1679,negative
1059945920178122752,0.8769,positive
1059617154541277184,0.5157,neutral
1059818139452694528,0.2649,negative
1058743657875025922,0.6193,positive
1059611427038732290,0.4737,neutral
1057746819613163525,0.6035,positive
1059929513751166977,0.4646,neutral
1059778327723102209,0.2137,negative
1059951220855619585,0.4976,neutral
1059789867201257472,0.6621,positive
